id,addition_time,client_id,active,registration_number,brand,color
5427,2024-06-18T02:13:58.868206,7598,N,0831 CR,Mitsubishi Galant,Peru
5428,2020-12-24T21:50:36.352821,15085,N,YH 63409,Dodge Ram 1500 Regular Cab,DarkKhaki
5429,2020-11-10T06:16:25.472107,3214,N,5J 0158J,GMC Sonoma Crew Cab,LightSteelBlue
5430,2020-06-01T11:53:09.307277,1315,Y,239-PVB,Ford Fusion Energi,GoldenRod
5431,2020-01-13T04:05:55.537264,5429,N,PPV-060,Kia Forte5,MediumOrchid
5432,2021-06-22T18:32:46.588568,3765,Y,872-CGQ,Toyota Prius v,Gold
5433,2022-01-29T08:37:05.894443,968,N,TCI 544,INFINITI J,DarkMagenta
5434,2023-03-26T07:59:00.277043,5827,Y,499SC,Mercury Grand Marquis,DarkBlue
5435,2023-04-06T02:59:43.467049,8261,Y,922 SXN,Chrysler Town & Country,LightGreen
5436,2020-02-06T21:43:47.887729,10560,N,4LO7183,Subaru Impreza,DarkSeaGreen
5437,2022-02-03T19:31:25.558316,514,N,HE 31449,Lexus LX,Black
5438,2021-12-14T00:12:57.872777,12536,Y,LVJ-258,Ford Edge,Chocolate
5439,2024-02-19T21:23:29.471078,13705,Y,88P 233,Audi A7,LightSteelBlue
5440,2020-02-02T15:39:16.841058,1939,N,1-P9614,Chevrolet Cavalier,Ivory
5441,2024-04-26T03:07:35.315485,5510,Y,PG-9983,Chevrolet Uplander Passenger,Purple
5442,2021-01-04T22:52:56.578690,19175,Y,847-BWV,Jeep Cherokee,PaleTurquoise
5443,2024-04-15T11:55:18.566249,10750,Y,4LHY037,Ram 2500 Mega Cab,PaleGoldenRod
5444,2022-04-05T19:58:04.139750,19713,Y,QTA 609,Cadillac Escalade ESV,MediumOrchid
5445,2024-01-13T12:36:22.147051,7666,Y,B 841302,Lincoln Navigator,MediumSeaGreen
5446,2024-04-30T07:40:38.848788,11731,Y,245 TNG,Nissan Regular Cab,Turquoise
5447,2024-07-12T13:34:03.000018,6241,Y,LMH 904,Chevrolet Volt,Purple
5448,2022-06-21T12:54:41.003174,18489,Y,5S Y1359,INFINITI QX,Teal
5449,2020-10-17T19:40:02.459864,8332,Y,2TO 289,Mercedes-Benz SL-Class,Ivory
5450,2020-12-27T14:41:11.941804,1061,Y,58ZA7,Chevrolet G-Series G30,Gray
5451,2019-11-20T01:22:12.504306,18560,Y,6TMF 31,Acura RL,LightSkyBlue
5452,2024-10-09T13:17:00.742517,10492,Y,721 JNL,Acura MDX Sport Hybrid,DarkOrange
5453,2024-04-10T09:23:43.678658,4499,Y,G59 4CO,Nissan Altima,MediumAquaMarine
5454,2021-01-27T02:40:04.100778,17377,N,591-OML,Dodge Ram 1500 Regular Cab,CadetBlue
5455,2020-12-28T19:06:30.513535,19465,Y,LLA 366,INFINITI Q,DarkSalmon
5456,2024-09-08T16:35:55.472266,18295,Y,723TA,Volvo XC90,LightSteelBlue
5457,2020-02-29T02:48:38.777602,12806,Y,GIS 344,Ford F250 Super Duty Crew Cab,BlueViolet
5458,2024-03-01T06:38:28.130841,16308,N,890Y8,Ford Fusion,Maroon
5459,2020-03-20T03:09:24.790859,11170,Y,5MI 001,Plymouth Voyager,Salmon
5460,2021-03-16T06:17:23.300705,13954,Y,0TE4520,Cadillac XTS,Crimson
5461,2022-02-02T23:24:12.985967,10129,Y,52W P49,Lincoln Navigator,Thistle
5462,2023-07-08T12:37:58.444652,5591,N,F85 3MM,Chevrolet Astro Passenger,DimGray
5463,2020-01-08T17:39:07.723536,19483,Y,87-33458,Saab 5-Sep,MediumAquaMarine
5464,2021-01-18T21:44:43.524943,9370,Y,7GX V67,BMW i3,Orange
5465,2021-02-20T12:19:30.036532,19085,Y,976506,Cadillac Seville,GreenYellow
5466,2024-01-04T08:50:36.372675,3042,Y,742 VGG,Mercedes-Benz E-Class,DarkViolet
5467,2020-06-30T14:16:57.153333,11925,N,A35-33E,BMW X2,LightSteelBlue
5468,2024-07-10T19:55:19.445743,9673,N,758 AXN,Mercedes-Benz GLS,Sienna
5469,2023-02-07T16:31:14.353915,18782,Y,82P•198,Chrysler Grand Voyager,Khaki
5470,2022-07-07T12:31:20.564446,16489,Y,RPW 9646,INFINITI Q,DeepPink
5471,2023-12-14T11:33:48.358482,17380,N,XPO-270,smart fortwo,YellowGreen
5472,2023-06-25T17:00:55.554765,16278,N,008-793,Audi allroad,LightSteelBlue
5473,2020-10-30T18:02:41.744296,12693,Y,LKW 720,Mitsubishi Endeavor,Red
5474,2022-10-17T05:27:45.580682,323,N,718-AGO,MAZDA MAZDA6,LightCoral
5475,2023-08-07T15:58:47.851188,10156,N,1S 8J3FPD,Volvo S70,Yellow
5476,2023-01-15T05:30:43.519708,14144,N,LML 4539,Mitsubishi Eclipse,SlateBlue
5477,2020-01-22T16:25:06.911926,1696,Y,096 MIO,Maserati Quattroporte,Snow
5478,2024-07-25T11:02:10.133909,11673,Y,ZDS-080,INFINITI QX,MediumTurquoise
5479,2021-11-19T01:04:03.505879,13451,Y,37F 978,BMW 7 Series,LightGoldenRodYellow
5480,2022-02-16T08:08:49.199896,3583,N,9123,Toyota Xtra Cab,SlateBlue
5481,2022-07-26T08:02:24.044533,15877,N,FOS-445,Mitsubishi Outlander,DarkKhaki
5482,2023-06-14T13:28:42.635587,8718,N,WDO 3591,Isuzu Oasis,MintCream
5483,2020-11-22T13:29:28.770530,17837,Y,CH 97816,Kia Sedona,Silver
5484,2024-02-27T18:50:52.289465,3768,Y,554JTY,Buick Envision,MediumSlateBlue
5485,2023-11-18T11:52:24.150886,17979,N,PIE O25,Acura TL,DeepPink
5486,2019-11-01T20:08:37.263186,3783,N,2-95165,GMC Envoy,MediumOrchid
5487,2021-10-19T22:11:38.209044,10147,Y,7BZ 634,GMC Acadia,CadetBlue
5488,2023-08-18T07:08:13.348134,11505,Y,PDE 728,Mercedes-Benz G-Class,DimGray
5489,2023-09-23T21:45:22.410676,1354,N,630 IQY,Toyota Avalon,Lavender
5490,2020-10-11T08:03:04.902775,13275,Y,V 107610,Bentley Continental,Blue
5491,2021-04-16T15:47:48.358639,16236,Y,75-TM36,Suzuki Grand Vitara,Bisque
5492,2024-03-31T23:25:10.730844,5952,N,YGX 014,BMW X3,LightGreen
5493,2021-05-03T01:41:24.434889,1800,Y,F 770528,Lincoln Aviator,Blue
5494,2023-04-26T15:17:14.474486,13190,Y,1VM C04,GMC Sonoma Regular Cab,Sienna
5495,2021-07-14T22:56:28.450103,5744,Y,1A 0B4GIS,Lexus GS,AntiqueWhite
5496,2021-04-15T16:10:44.180963,5250,N,132 0YI,Lexus RC,DarkSlateBlue
5497,2023-12-09T12:12:13.511775,11029,N,00F S01,Subaru Forester,PaleGoldenRod
5498,2020-05-12T17:03:02.691012,19785,N,IS 66357,Mercedes-Benz SL,BurlyWood
5499,2024-02-10T10:22:10.823442,14227,Y,05-70413,Dodge Ram 1500 Regular Cab,GreenYellow
5500,2020-06-12T14:46:37.696377,1343,Y,816-035,Dodge Avenger,Peru
5501,2022-10-23T01:21:30.334308,4971,Y,697 OCY,Audi 100,LightGreen
5502,2024-07-08T22:27:09.540598,13284,N,0ZA I23,Ford Escape,LightSeaGreen
5503,2024-08-19T12:00:55.048547,2946,Y,787 OJ6,Subaru BRZ,Aquamarine
5504,2024-05-06T05:46:06.381013,8298,N,6F 8M7ETN,Aston Martin Vanquish,MediumPurple
5505,2021-01-14T20:11:26.268017,5112,N,258 ODE,Mercedes-Benz S-Class,LightSeaGreen
5506,2021-04-05T10:55:48.660022,6625,Y,892C,Ford Tempo,SkyBlue
5507,2020-03-14T07:16:22.408152,16246,Y,TOM 430,Chevrolet Suburban 1500,LightSteelBlue
5508,2022-10-09T06:17:50.488112,903,N,68O G83,Nissan Murano,Lime
5509,2021-07-19T20:19:20.247932,11444,Y,721-430,Nissan JUKE,NavajoWhite
5510,2021-07-24T10:36:41.132533,13666,Y,FFC9002,Pontiac G5,PaleVioletRed
5511,2019-11-01T19:15:33.759947,6200,N,1ZF76,Mitsubishi Montero,SkyBlue
5512,2023-03-05T08:55:54.203195,19134,Y,8PK10,Chevrolet Silverado 2500 Regular Cab,WhiteSmoke
5513,2020-03-11T02:39:00.961569,3210,N,FSU-7409,Audi S5,NavajoWhite
5514,2020-11-10T02:23:32.335214,10639,N,590NMO,Dodge Ram Van 3500,DarkOrchid
5515,2024-09-30T17:37:30.873798,7826,Y,873VCO,Oldsmobile LSS,DarkOrange
5516,2020-11-20T09:24:36.305345,10911,N,1A 4B0DPR,INFINITI QX50,Brown
5517,2020-06-19T07:35:43.571754,6780,N,217-LZS,Mercedes-Benz Mercedes-AMG CLA,LightPink
5518,2019-12-27T17:43:36.342241,1774,Y,819-WIM,Chevrolet S10 Regular Cab,HotPink
5519,2021-04-15T17:38:12.503072,3099,Y,643-TSS,Mitsubishi Eclipse,ForestGreen
5520,2024-02-12T19:53:05.404965,14890,Y,6BP 931,INFINITI J,WhiteSmoke
5521,2022-06-02T22:51:51.163134,19704,Y,817-ERM,Jaguar XJ,DarkViolet
5522,2020-03-08T02:08:02.973157,16486,Y,30-EZ41,Audi A3,LimeGreen
5523,2022-05-17T00:55:55.055869,9494,Y,56-3865N,Subaru Legacy,Thistle
5524,2021-02-10T08:21:55.168755,8397,N,DI-0710,Pontiac Bonneville,HotPink
5525,2024-06-14T22:20:53.879142,9200,N,301TWS,Ford Aerostar Cargo,OliveDrab
5526,2021-06-26T23:08:08.613784,19265,Y,48X 2710,Audi Q3,DarkGreen
5527,2023-10-21T15:44:19.236867,8502,N,452 IKP,BMW X6 M,GoldenRod
5528,2022-07-02T22:33:40.326162,1933,Y,Q 692468,FIAT 500,PaleGoldenRod
5529,2021-01-22T22:38:35.023905,544,N,RZU-1522,Chevrolet Silverado 1500 Extended Cab,Orchid
5530,2022-07-12T13:32:59.825275,14404,Y,4-79654,Nissan Murano,Coral
5531,2024-06-19T11:27:40.618999,14417,Y,44-L862,Mercury Mountaineer,Crimson
5532,2022-11-03T02:34:34.581401,7831,N,61KC0,Honda S2000,DarkBlue
5533,2023-02-20T00:38:40.156402,13008,N,135 3063,Chevrolet Camaro,Snow
5534,2022-10-08T15:58:34.385110,17249,N,VB-5424,Chevrolet Colorado Regular Cab,DarkBlue
5535,2024-06-18T11:57:24.292875,3112,N,911O9,Toyota Tacoma Regular Cab,LavenderBlush
5536,2019-11-18T17:05:04.292760,11520,N,QD 7120,Isuzu Trooper,Fuchsia
5537,2024-05-23T13:09:51.708258,6468,Y,8-A6346,BMW 5 Series,PeachPuff
5538,2023-07-28T07:02:11.687948,14781,N,05V U60,Ford Ranger Regular Cab,Aquamarine
5539,2022-04-14T08:01:14.701280,17055,N,35M T40,Ford Escape,LightGreen
5540,2023-10-21T20:07:32.182816,13734,N,827 QR9,Subaru WRX,Orchid
5541,2023-06-23T13:25:17.185664,9718,N,MAV 918,Chrysler Concorde,BlanchedAlmond
5542,2021-02-10T09:49:52.685173,13616,Y,15-4701C,Ford Mustang,Plum
5543,2022-08-23T09:50:45.210543,7110,Y,027 2517,Mercedes-Benz CLK-Class,Tan
5544,2019-12-13T20:12:48.408624,11984,N,11N OX4,MINI Roadster,HotPink
5545,2023-07-22T12:53:44.659423,5036,Y,6TU 274,GMC Safari Cargo,DarkMagenta
5546,2019-11-29T01:25:05.556056,9850,N,648-UKK,Honda Civic,Maroon
5547,2020-06-20T09:36:32.764002,2165,N,22-KK07,Lexus LX,Aqua
5548,2022-01-03T02:49:59.629730,3077,Y,9ITV235,Chevrolet Express 1500 Passenger,Gold
5549,2023-04-04T11:47:00.739509,2714,Y,FMI 252,INFINITI FX,Linen
5550,2020-04-17T04:54:16.611717,19086,Y,LSR 541,Audi A4,DarkGreen
5551,2020-05-29T21:29:55.945211,12088,N,7O 6646Z,Dodge Ram 3500 Quad Cab,LemonChiffon
5552,2021-12-15T21:24:12.722010,10997,Y,9YE J04,Acura NSX,LightCyan
5553,2020-03-18T19:59:59.373668,8042,N,HOR-3575,Toyota Tundra CrewMax,White
5554,2020-08-05T14:38:09.325299,13503,Y,484 UQ1,Scion tC,Purple
5555,2022-04-02T04:32:57.110498,15171,N,07P 6721,MINI Roadster,Olive
5556,2024-07-11T10:09:40.794397,12170,N,976TUE,Toyota Tundra Regular Cab,SteelBlue
5557,2023-12-29T08:21:45.421397,11126,Y,UYE-7193,MINI Cooper,MediumSeaGreen
5558,2023-11-30T21:17:28.847626,3037,Y,886 NAP,GMC Canyon Crew Cab,DarkRed
5559,2021-05-19T20:10:27.267477,16117,N,ZRL 794,BMW 7 Series,DarkCyan
5560,2021-02-21T23:51:00.295454,12608,N,84H P87,Mercedes-Benz G-Class,NavajoWhite
5561,2022-08-25T21:48:49.289821,17974,Y,OTK 035,MINI Coupe,LightSalmon
5562,2020-11-21T18:35:40.499519,10774,N,KX3 2159,Tesla Model S,LemonChiffon
5563,2023-05-13T23:00:23.736710,2587,N,64D U76,Nissan Titan Crew Cab,DarkGreen
5564,2020-10-27T17:11:08.451862,10539,N,748 GLD,BMW 5 Series,Aqua
5565,2022-07-21T02:31:48.687459,13327,Y,768 DQM,GMC Rally Wagon G2500,SeaShell
5566,2020-03-10T00:28:21.020970,5193,Y,TSQ-228,Ford F350 Super Cab,Orange
5567,2024-03-22T20:35:02.496681,7952,N,YBS 844,Mercedes-Benz Sprinter 2500 Cargo,Gainsboro
5568,2024-02-20T06:06:21.231976,5664,Y,8-41933F,Dodge Grand Caravan Passenger,LightSkyBlue
5569,2022-12-09T02:17:21.109545,878,Y,037 6YV,BMW 3 Series,WhiteSmoke
5570,2021-01-11T14:59:54.623325,4943,N,3JS M03,Ford Ranger Super Cab,PeachPuff
5571,2021-07-24T00:36:53.225448,4510,Y,2P966,Ford F350 Super Duty Crew Cab,Orange
5572,2022-03-23T22:39:53.976293,19300,N,2EO 785,Audi S4,Coral
5573,2023-11-22T03:29:45.029586,11471,N,HIU 087,Jaguar XK,Purple
5574,2023-05-24T08:08:07.791401,3689,N,760 DBJ,Mitsubishi Outlander,HotPink
5575,2023-06-20T01:05:44.396194,4718,Y,7R241,BMW M6,SpringGreen
5576,2021-09-12T14:14:22.459123,1871,Y,GPV-9758,Audi Q3,DarkRed
5577,2023-02-02T16:38:18.553533,11007,N,MDI-1846,BMW 8 Series,DarkOliveGreen
5578,2019-12-02T20:02:40.883402,16799,N,027-MZQ,Nissan Rogue,GoldenRod
5579,2024-06-23T09:30:29.724391,8139,Y,H 304985,Mercedes-Benz CLA,Wheat
5580,2023-02-08T15:26:17.662495,11153,Y,8YRB 39,Volkswagen Golf Alltrack,MediumOrchid
5581,2020-08-13T17:00:06.753715,11822,N,ZIF1611,Chevrolet 2500 HD Regular Cab,Black
5582,2022-07-19T17:11:39.151899,13923,N,3V C4939,Volkswagen GLI,MidnightBlue
5583,2020-12-31T23:15:49.953648,1006,Y,OQA-293,Dodge Dakota Club Cab,Aqua
5584,2024-02-06T11:50:24.466884,288,Y,MSZ-740,Volvo V40,Thistle
5585,2021-01-03T11:48:06.961384,9907,Y,LXA-773,Lexus GS,Navy
5586,2021-03-07T03:09:37.123178,2098,Y,X32 6RN,Ford Crown Victoria,CadetBlue
5587,2024-02-15T12:55:57.076566,13959,Y,5LC M24,Mercury Tracer,PaleTurquoise
5588,2023-03-05T22:17:37.782471,16097,Y,EQX 893,Ford Explorer Sport Trac,GoldenRod
5589,2022-11-17T17:42:33.068687,18057,Y,57-J437,Chevrolet Corvette,BlanchedAlmond
5590,2020-02-07T11:07:29.136187,12248,N,717-BEB,Ford F350 Super Duty Crew Cab,Magenta
5591,2021-02-14T13:36:45.948976,490,N,927 PYD,GMC Savana 1500 Cargo,IndianRed
5592,2023-06-08T13:13:34.253759,16551,N,7-Z0208,Chevrolet Tahoe,MintCream
5593,2019-12-12T04:49:01.612862,16266,Y,0-S9185,Volvo C70,LightGreen
5594,2020-08-04T11:17:56.142116,14312,N,ZOA 676,Chevrolet Volt,Orchid
5595,2022-07-24T04:02:13.136306,17789,Y,4H T7888,Lexus SC,DarkSlateGray
5596,2020-04-10T04:19:19.827165,18481,N,BLI-4818,Kia Sportage,Turquoise
5597,2022-06-17T03:44:38.760513,1483,Y,628 YVI,Kia Telluride,Brown
5598,2020-07-18T06:19:45.113435,12795,Y,398-PME,Oldsmobile Regency,Ivory
5599,2024-04-17T12:21:41.328533,17172,Y,507 YJB,Ford F250 Super Duty Super Cab,LightCoral
5600,2020-05-27T07:26:42.771941,1579,Y,450 TIH,Jeep Renegade,SeaShell
5601,2023-07-09T12:24:03.684629,2667,Y,937 YW7,Acura MDX,ForestGreen
5602,2020-07-23T22:19:28.111342,916,N,395 0601,Dodge Ram Wagon 1500,ForestGreen
5603,2023-04-17T12:22:31.309822,17473,N,351-HBM,Dodge Challenger,Magenta
5604,2022-10-26T17:12:11.630537,2005,N,SSW-6671,INFINITI QX80,Lavender
5605,2022-02-17T18:26:16.687797,15314,N,FIE-365,Ford Focus,OrangeRed
5606,2022-03-08T09:19:56.085733,19926,Y,RNU-344,Mitsubishi Mirage G4,PapayaWhip
5607,2022-12-06T07:18:05.801085,19347,Y,998 8222,Dodge Charger,Linen
5608,2023-03-09T17:44:36.194577,4405,Y,30E FE9,Ford Escort,SlateGray
5609,2020-12-15T15:56:30.876916,8006,Y,119 1516,Ford Explorer Sport Trac,DarkSlateGray
5610,2022-09-14T12:33:07.280258,2474,N,IKM-5771,Toyota RAV4,Aqua
5611,2020-04-29T06:11:40.298039,4801,N,054 DWJ,Hyundai Tiburon,Yellow
5612,2024-05-21T19:03:23.859555,19504,N,1DC 383,Plymouth Laser,OrangeRed
5613,2023-11-16T18:48:00.045071,49,Y,IFU-779,Mitsubishi Montero,MediumSpringGreen
5614,2023-12-01T10:57:11.970277,15072,N,17R 895,Mercedes-Benz Metris Cargo,HoneyDew
5615,2021-02-19T01:35:15.436557,2183,Y,DKJ 906,Chevrolet Silverado 2500 Extended Cab,Coral
5616,2020-10-21T20:34:52.553475,3280,Y,622EE,Chevrolet Avalanche 1500,Navy
5617,2022-05-25T06:33:49.240513,15134,Y,396 JPE,Chevrolet 2500 Regular Cab,Yellow
5618,2021-07-31T15:50:44.950549,3920,N,270 2717,Buick Envision,MediumTurquoise
5619,2021-02-08T01:30:16.765827,4932,N,7FZ F93,Jeep Wrangler,Chartreuse
5620,2019-12-03T10:17:03.084625,11010,Y,MBR 323,Jeep Cherokee,Violet
5621,2021-05-27T23:17:58.413839,19228,N,750 WPT,Ferrari F430,MediumPurple
5622,2022-03-01T19:31:54.486592,725,N,FOD 992,Mercedes-Benz M-Class,MediumBlue
5623,2022-09-03T20:44:05.627958,3258,Y,111 DKI,Pontiac Aztek,Olive
5624,2020-11-07T18:06:48.270288,2169,Y,IGN-540,Chevrolet Express 2500 Passenger,Lime
5625,2021-06-12T00:35:09.046792,17752,Y,7EKX912,Tesla Model S,Maroon
5626,2020-10-30T23:58:25.688151,17285,Y,21O L93,Lincoln MKT,Azure
5627,2021-06-24T07:39:53.568703,14840,Y,266HRQ,Dodge Dakota Club Cab,YellowGreen
5628,2023-02-16T08:32:26.086593,7348,N,5PFF 26,Mitsubishi Montero,DeepPink
5629,2020-05-12T23:06:58.612845,10043,Y,164078,GMC Sierra 3500 HD Regular Cab,MediumAquaMarine
5630,2023-06-05T11:39:39.412550,784,N,R00 5FN,Chevrolet Camaro,Cyan
5631,2021-03-04T14:55:47.737582,7916,N,5PO7335,Hyundai Elantra,DarkSeaGreen
5632,2022-06-27T14:12:52.821530,6814,N,265 GA0,MAZDA B-Series Cab Plus,SaddleBrown
5633,2021-09-01T06:00:08.201264,11401,N,655Q6,Acura RDX,DodgerBlue
5634,2022-10-03T23:23:39.487699,19190,N,455 EF9,Lexus RX,LightYellow
5635,2023-09-10T20:32:50.991228,6189,Y,JEP-7899,Kia Sportage,Aqua
5636,2022-01-17T08:17:51.017324,9839,N,194R6,Audi A6,Magenta
5637,2023-08-13T19:25:56.538410,17671,N,209 9307,Mitsubishi Precis,MintCream
5638,2024-09-04T18:24:59.355036,13630,N,S 408298,Pontiac G6,Green
5639,2021-07-17T22:23:44.536525,14302,N,627 EUV,Ford F350 Super Duty Crew Cab,Violet
5640,2020-11-13T00:22:33.646826,14802,Y,856-KZB,GMC 2500 Club Coupe,MediumPurple
5641,2021-08-07T09:09:37.721806,15028,Y,6N 5200R,Toyota Sequoia,SeaGreen
5642,2022-12-12T20:16:40.303986,11227,N,J61 4XV,Chevrolet Silverado 1500 Crew Cab,Fuchsia
5643,2021-07-28T21:50:34.355188,5657,Y,9H089,Toyota Tacoma Access Cab,NavajoWhite
5644,2023-03-27T10:27:26.761292,606,Y,654-XYK,Chevrolet 3500 HD Regular Cab,YellowGreen
5645,2024-09-08T10:43:48.593981,10785,Y,FG6 J4A,Ford Expedition EL,MediumBlue
5646,2022-08-30T00:02:10.468422,10984,N,6-P8615,Scion tC,CadetBlue
5647,2020-08-26T03:09:53.386620,8888,Y,909603,Hyundai Santa Fe,DodgerBlue
5648,2023-04-09T13:37:41.645784,13664,N,2F LD613,Chrysler Pacifica,LightPink
5649,2023-08-24T10:59:25.488355,7430,N,284 CDZ,MAZDA MAZDA3,RoyalBlue
5650,2021-06-18T06:25:52.289606,5315,N,0555 NI,Chevrolet Spark,LightGoldenRodYellow
5651,2022-05-03T03:00:17.020420,14179,N,KQB-4688,Lincoln MKZ,Yellow
5652,2023-04-24T08:13:08.303884,15293,Y,TPV 946,Ford F250 Super Duty Regular Cab,SandyBrown
5653,2023-08-09T15:07:35.951856,3769,N,ZZF 199,Saturn S-Series,HoneyDew
5654,2022-02-07T23:42:58.667596,1908,N,8R200,Chevrolet 1500 Extended Cab,PowderBlue
5655,2023-11-06T06:03:25.963003,18708,Y,LJT 984,Chevrolet Silverado 1500 HD Crew Cab,MediumPurple
5656,2022-05-20T08:31:32.814743,9369,Y,27J I35,Porsche 928,PaleGoldenRod
5657,2019-11-29T00:49:49.096397,12052,N,KRX 616,Pontiac Grand Am,Coral
5658,2021-06-02T15:16:24.780477,7726,Y,362 9820,Subaru BRZ,Blue
5659,2023-10-21T07:17:14.031281,6259,N,PLS 172,Nissan LEAF,MediumSpringGreen
5660,2024-03-26T20:59:20.231378,2706,N,6I 83513,Chevrolet Express 2500 Cargo,GhostWhite
5661,2020-01-11T02:29:01.832665,10398,N,8-53126Y,Ford Transit 150 Wagon,DarkGreen
5662,2023-10-24T05:46:46.777281,13012,Y,874 TEV,Ford Escape,Thistle
5663,2022-08-31T02:06:06.566583,18522,Y,7OH86,HUMMER H3,Fuchsia
5664,2023-07-14T01:16:58.745337,1163,Y,377-238,Genesis G90,GhostWhite
5665,2020-02-22T01:18:33.616334,16311,N,C96-83T,Chrysler New Yorker,SeaShell
5666,2019-11-12T02:43:05.799998,3426,Y,E47 0SO,Suzuki Kizashi,OldLace
5667,2022-11-04T18:08:23.178402,1202,Y,1LH O39,Nissan NV1500 Cargo,Gold
5668,2024-04-07T08:33:37.676591,6521,Y,58L•656,Chrysler Concorde,SandyBrown
5669,2024-10-29T13:16:46.546368,12217,Y,GWH 7009,Plymouth Neon,Cornsilk
5670,2022-08-13T17:19:48.297115,2779,N,28J P68,Chevrolet Corvette,LightGray
5671,2022-12-05T06:27:52.659649,14216,N,J 948446,Ford Transit Connect Passenger,Chartreuse
5672,2021-08-30T14:21:32.305991,734,Y,J 825020,INFINITI G,LightCyan
5673,2023-11-22T14:46:25.404875,4683,N,2-5661Q,Land Rover LR2,DarkBlue
5674,2023-09-02T17:34:00.107794,11831,Y,615 LTZ,Ford F250 Super Duty Regular Cab,MintCream
5675,2022-12-11T10:05:40.196143,19477,Y,KRT J87,INFINITI G,DarkMagenta
5676,2024-04-15T08:24:51.771206,8333,N,651NW,Acura CL,PaleGreen
5677,2022-12-09T11:45:38.603954,18950,N,87P•072,Ram C/V Tradesman,Gainsboro
5678,2024-08-01T11:47:54.615922,16863,N,L22-96M,Chevrolet Suburban 1500,RosyBrown
5679,2023-05-07T15:00:28.036436,7807,N,881062,Chevrolet 2500 HD Regular Cab,PaleVioletRed
5680,2023-03-04T21:46:38.460155,16158,Y,585-907,Nissan Altima,Gold
5681,2020-12-17T10:38:22.911609,4826,N,KGV 415,Maybach 57,MintCream
5682,2023-06-05T10:44:58.956108,5049,Y,868 LJN,GMC Yukon,DimGray
5683,2020-12-11T06:02:54.440638,19980,N,208 LNO,Chevrolet Sportvan G20,MediumOrchid
5684,2021-06-23T18:24:21.114293,9284,Y,IJ 96777,Lincoln MKX,Lime
5685,2021-11-29T06:54:56.766692,4914,Y,818498,Mercedes-Benz M-Class,PowderBlue
5686,2022-08-26T12:42:17.125991,10891,N,096 DAE,Nissan Versa,Navy
5687,2020-08-10T03:35:20.777063,14517,N,6FJ 130,Toyota Regular Cab,MidnightBlue
5688,2021-07-19T23:38:19.975765,10678,N,JOH 459,Kia Spectra,DarkMagenta
5689,2024-05-19T13:58:03.367337,9821,Y,OYA-886,Hyundai Equus,LightGoldenRodYellow
5690,2024-06-01T16:30:49.430044,4934,Y,74Z•001,Lexus HS,MediumSpringGreen
5691,2024-10-09T11:09:24.824350,19654,N,507-KYS,INFINITI Q,CornflowerBlue
5692,2021-04-01T14:32:10.372724,13588,N,3E FZ897,Isuzu i-370 Extended Cab,DarkKhaki
5693,2023-03-08T22:06:06.694998,3301,N,TRF-0639,Volvo S40,HoneyDew
5694,2020-02-13T06:32:01.787311,10729,N,ABU-7874,Toyota Camry,DarkKhaki
5695,2024-08-16T08:34:34.203321,1599,Y,0AW5075,Cadillac Escalade,SeaShell
5696,2024-03-29T01:36:39.540828,18875,Y,HJE 043,Chevrolet Lumina Cargo,LightCoral
5697,2024-05-06T13:23:23.883703,11666,N,LGS 288,GMC Savana 2500 Cargo,MediumPurple
5698,2023-08-16T08:44:57.415284,13415,Y,QCQ 522,Ford Windstar Passenger,LightGreen
5699,2023-08-03T19:45:34.680982,19885,Y,047 OTA,Pontiac Sunfire,SandyBrown
5700,2024-05-17T23:06:42.242754,12511,Y,424-336,Subaru Legacy,SaddleBrown
5701,2022-02-21T15:09:32.974939,17277,Y,584-GEK,Buick Park Avenue,DimGray
5702,2021-12-18T10:10:50.685491,1059,Y,4-9437N,Mercedes-Benz SLK-Class,Chocolate
5703,2021-03-22T14:46:59.106897,17865,N,YEV 8860,Mitsubishi Galant,NavajoWhite
5704,2022-09-19T22:32:53.427871,8851,N,GRU P48,Lincoln Town Car,CadetBlue
5705,2023-10-20T20:01:58.836780,9009,N,40D 8720,MAZDA MX-5 Miata,YellowGreen
5706,2020-04-06T21:55:58.445841,11702,N,309CKA,GMC Yukon XL 2500,Thistle
5707,2022-02-22T22:49:03.373177,13030,N,JHY-3621,Jeep Wrangler Unlimited,LightSteelBlue
5708,2024-07-31T10:41:48.393062,18931,N,49L 048,Toyota Land Cruiser,PaleGreen
5709,2022-04-29T21:50:27.588716,8231,Y,DGT 864,Land Rover LR4,LightSteelBlue
5710,2021-03-26T19:18:57.423956,14707,N,GVU-4643,Dodge Dakota Club Cab,SaddleBrown
5711,2020-10-27T06:01:51.787119,11028,N,238 IIV,GMC Savana 3500 Cargo,Crimson
5712,2024-03-12T04:54:40.418058,17865,Y,871F3,MAZDA 929,Coral
5713,2023-09-03T21:25:57.412271,15785,Y,039 FCT,GMC Sierra 3500 HD Double Cab,DeepPink
5714,2020-12-25T13:25:18.250851,1540,N,OF5 V8C,MINI Clubman,MediumBlue
5715,2024-10-23T03:46:08.404685,11508,Y,9LP 157,Acura NSX,Thistle
5716,2023-01-06T07:44:26.417434,14806,N,54ZZ392,Lexus UX,IndianRed
5717,2023-09-30T17:11:25.308737,1205,Y,510-680,Dodge Challenger,DarkKhaki
